State;Abbrev;Population
Alaska;AK;733406
Alabama;AL;5108468
Arkansas;AR;3067732
Arizona;AZ;7431344
California;CA;38965193
Colorado;CO;5877610
Connecticut;CT;3617176
District of Columbia;DC;678972
Delaware;DE;1031890
Florida;FL;22610726
Georgia;GA;11029227
Hawaii;HI;1435138
Iowa;IA;3207004
Idaho;ID;1964726
Illinois;IL;12549689
Indiana;IN;6862199
Kansas;KS;2940546
Kentucky;KY;4526154
Louisiana;LA;4573749
Massachusetts;MA;7001399
Maryland;MD;6180253
Maine;ME;1395722
Michigan;MI;10037261
Minnesota;MN;5737915
Missouri;MO;6196156
Mississippi;MS;2939690
Montana;MT;1132812
North Carolina;NC;10835491
North Dakota;ND;783926
Nebraska;NE;1978379
New Hampshire;NH;1402054
New Jersey;NJ;9290841
New Mexico;NM;2114371
Nevada;NV;3194176
New York;NY;19571216
Ohio;OH;11785935
Oklahoma;OK;4053824
Oregon;OR;4233358
Pennsylvania;PA;12961683
Rhode Island;RI;1095962
South Carolina;SC;5373555
South Dakota;SD;919318
Tennessee;TN;7126489
Texas;TX;30503301
Utah;UT;3417734
Vermont;VT;647464
Washington;WA;7812880
Wisconsin;WI;5910955
West Virginia;WV;1770071
Wyoming;WY;584057
Virginia;XX;8715698
